Year,"Agriculture, forestry, and fishing, value added (% of GDP) China","Agriculture, forestry, and fishing, value added (% of GDP) India","Agriculture, forestry, and fishing, value added (% of GDP) USA"
1960,23.1752942,41.31283906,
1961,35.79485515,40.38740161,
1962,38.98640509,38.3713352,
1963,39.85420171,39.31975131,
1964,38.02979795,41.18773833,
1965,37.54901961,38.95214348,
1966,37.17901202,40.02544761,
1967,39.80604169,42.76762174,
1968,41.6432544,41.63355064,
1969,37.5191112,41.35834331,
1970,34.79843839,39.9278062,
1971,33.63181245,38.0997785,
1972,32.41654913,38.01772227,
1973,32.92576736,41.1620452,
1974,33.42645967,38.19969328,
1975,31.95262379,35.26950135,
1976,32.35963327,33.44297129,
1977,28.99076923,34.94772597,
1978,27.68541782,33.16003828,
1979,30.7032787,31.28095945,
1980,29.63393836,33.05748473,
1981,31.31558121,31.71514239,
1982,32.7857031,30.57047008,
1983,32.56812238,31.32414522,
1984,31.53969556,30.14679253,
1985,27.93435752,28.63528435,
1986,26.63849653,27.4687606,
1987,26.32089964,26.88407028,
1988,25.23768653,27.98222891,
1989,24.61155196,26.91794315,
1990,26.58430812,26.89643825,
1991,24.03406738,27.33321814,
1992,21.32886137,26.66977197,
1993,19.3074684,26.88180084,
1994,19.47428273,26.38861888,
1995,19.59651961,24.45685527,
1996,19.32548555,25.41703075,1.33691171
1997,17.89527674,24.34535709,1.213996911
1998,17.15903476,24.37882105,1.151182522
1999,16.06478847,22.98896098,1.150456365
2000,14.67624166,21.60895747,1.129325505
2001,13.98346135,21.62050461,0.970430947
2002,13.30148771,19.5366997,1.11525742
2003,12.34899897,19.58060679,1.25866008
2004,12.91664817,17.81469065,1.142255277
2005,11.6414956,17.62020695,1.000677774
2006,10.62576053,16.80944209,1.066822141
2007,10.24616576,16.75011976,1.065783136
2008,10.16904785,16.79094236,0.968572536
2009,9.636185514,16.74427016,1.042481339
2010,9.325176941,17.02650901,1.216487537
2011,9.177653795,17.19197356,1.158828949
2012,9.11371387,16.84537707,1.333513679
2013,8.942893962,17.14842354,1.185571018
2014,8.643491396,16.79193451,1.043866452
2015,8.387014882,16.17450811,0.94398888
2016,8.057287535,16.36380056,0.949806072
2017,7.463565017,16.5583314,0.920560058
2018,7.043020253,15.97015748,0.916865221
2019,7.143691248,16.6774624,
2020,7.653066548,18.31898773,
